periodyear,industry__name,emp,female,male,age45p,age50p,community__name,community__gnis_feature_id,community__census_code,community__census_area__name,community__census_area__gnis_feature_id,community__census_area__census_code,community__census_area__county_code,community__census_area__historical,community__census_area__notes,community__alaska_native_regional_corporation__name,community__latitude,community__longitude,community__aea_energy_region__name,community__dcra_community_id
2001,Manufacturing,7,1,6,4,1,Nome,1407125,54920,Nome Census Area,1419977,99180,180,0,,Bering Straits Native Corporation,64.5011111,-165.4063889,Bering Straits,7831002d-cf78-477b-a4f8-b1c9bba1a96c
2001,"Trade, Transportation and Utilities",329,114,215,67,40,Nome,1407125,54920,Nome Census Area,1419977,99180,180,0,,Bering Straits Native Corporation,64.5011111,-165.4063889,Bering Straits,7831002d-cf78-477b-a4f8-b1c9bba1a96c
2001,Information,18,8,10,8,5,Nome,1407125,54920,Nome Census Area,1419977,99180,180,0,,Bering Straits Native Corporation,64.5011111,-165.4063889,Bering Straits,7831002d-cf78-477b-a4f8-b1c9bba1a96c
2001,Professional and Business Services,55,25,30,16,11,Nome,1407125,54920,Nome Census Area,1419977,99180,180,0,,Bering Straits Native Corporation,64.5011111,-165.4063889,Bering Straits,7831002d-cf78-477b-a4f8-b1c9bba1a96c
2001,Educational and Health Services,482,327,155,171,119,Nome,1407125,54920,Nome Census Area,1419977,99180,180,0,,Bering Straits Native Corporation,64.5011111,-165.4063889,Bering Straits,7831002d-cf78-477b-a4f8-b1c9bba1a96c
2001,Leisure and Hospitality,140,62,78,32,21,Nome,1407125,54920,Nome Census Area,1419977,99180,180,0,,Bering Straits Native Corporation,64.5011111,-165.4063889,Bering Straits,7831002d-cf78-477b-a4f8-b1c9bba1a96c
2001,State Government,195,92,103,74,43,Nome,1407125,54920,Nome Census Area,1419977,99180,180,0,,Bering Straits Native Corporation,64.5011111,-165.4063889,Bering Straits,7831002d-cf78-477b-a4f8-b1c9bba1a96c
2001,Local Government,248,121,127,113,63,Nome,1407125,54920,Nome Census Area,1419977,99180,180,0,,Bering Straits Native Corporation,64.5011111,-165.4063889,Bering Straits,7831002d-cf78-477b-a4f8-b1c9bba1a96c
2001,Other,51,20,31,15,11,Nome,1407125,54920,Nome Census Area,1419977,99180,180,0,,Bering Straits Native Corporation,64.5011111,-165.4063889,Bering Straits,7831002d-cf78-477b-a4f8-b1c9bba1a96c
2002,Unknown,1,1,0,0,0,Nome,1407125,54920,Nome Census Area,1419977,99180,180,0,,Bering Straits Native Corporation,64.5011111,-165.4063889,Bering Straits,7831002d-cf78-477b-a4f8-b1c9bba1a96c
2002,Natural Resources and Mining,12,0,12,4,2,Nome,1407125,54920,Nome Census Area,1419977,99180,180,0,,Bering Straits Native Corporation,64.5011111,-165.4063889,Bering Straits,7831002d-cf78-477b-a4f8-b1c9bba1a96c
2002,Construction,67,7,60,18,10,Nome,1407125,54920,Nome Census Area,1419977,99180,180,0,,Bering Straits Native Corporation,64.5011111,-165.4063889,Bering Straits,7831002d-cf78-477b-a4f8-b1c9bba1a96c
2002,Manufacturing,16,3,13,2,1,Nome,1407125,54920,Nome Census Area,1419977,99180,180,0,,Bering Straits Native Corporation,64.5011111,-165.4063889,Bering Straits,7831002d-cf78-477b-a4f8-b1c9bba1a96c
2002,"Trade, Transportation and Utilities",313,101,212,61,37,Nome,1407125,54920,Nome Census Area,1419977,99180,180,0,,Bering Straits Native Corporation,64.5011111,-165.4063889,Bering Straits,7831002d-cf78-477b-a4f8-b1c9bba1a96c
2002,Information,23,10,13,14,8,Nome,1407125,54920,Nome Census Area,1419977,99180,180,0,,Bering Straits Native Corporation,64.5011111,-165.4063889,Bering Straits,7831002d-cf78-477b-a4f8-b1c9bba1a96c
2002,Financial Activities,100,61,39,28,16,Nome,1407125,54920,Nome Census Area,1419977,99180,180,0,,Bering Straits Native Corporation,64.5011111,-165.4063889,Bering Straits,7831002d-cf78-477b-a4f8-b1c9bba1a96c
2002,Professional and Business Services,44,18,26,18,11,Nome,1407125,54920,Nome Census Area,1419977,99180,180,0,,Bering Straits Native Corporation,64.5011111,-165.4063889,Bering Straits,7831002d-cf78-477b-a4f8-b1c9bba1a96c
2002,Educational and Health Services,493,342,151,180,125,Nome,1407125,54920,Nome Census Area,1419977,99180,180,0,,Bering Straits Native Corporation,64.5011111,-165.4063889,Bering Straits,7831002d-cf78-477b-a4f8-b1c9bba1a96c
2002,Leisure and Hospitality,150,71,79,33,19,Nome,1407125,54920,Nome Census Area,1419977,99180,180,0,,Bering Straits Native Corporation,64.5011111,-165.4063889,Bering Straits,7831002d-cf78-477b-a4f8-b1c9bba1a96c
2002,State Government,199,91,108,84,43,Nome,1407125,54920,Nome Census Area,1419977,99180,180,0,,Bering Straits Native Corporation,64.5011111,-165.4063889,Bering Straits,7831002d-cf78-477b-a4f8-b1c9bba1a96c
2002,Other,44,14,30,19,15,Nome,1407125,54920,Nome Census Area,1419977,99180,180,0,,Bering Straits Native Corporation,64.5011111,-165.4063889,Bering Straits,7831002d-cf78-477b-a4f8-b1c9bba1a96c
2003,Natural Resources and Mining,6,1,5,2,1,Nome,1407125,54920,Nome Census Area,1419977,99180,180,0,,Bering Straits Native Corporation,64.5011111,-165.4063889,Bering Straits,7831002d-cf78-477b-a4f8-b1c9bba1a96c
2003,Construction,62,3,59,14,9,Nome,1407125,54920,Nome Census Area,1419977,99180,180,0,,Bering Straits Native Corporation,64.5011111,-165.4063889,Bering Straits,7831002d-cf78-477b-a4f8-b1c9bba1a96c
2003,"Trade, Transportation and Utilities",337,97,240,94,52,Nome,1407125,54920,Nome Census Area,1419977,99180,180,0,,Bering Straits Native Corporation,64.5011111,-165.4063889,Bering Straits,7831002d-cf78-477b-a4f8-b1c9bba1a96c
2003,Information,19,6,13,10,6,Nome,1407125,54920,Nome Census Area,1419977,99180,180,0,,Bering Straits Native Corporation,64.5011111,-165.4063889,Bering Straits,7831002d-cf78-477b-a4f8-b1c9bba1a96c
2003,Financial Activities,127,68,59,35,21,Nome,1407125,54920,Nome Census Area,1419977,99180,180,0,,Bering Straits Native Corporation,64.5011111,-165.4063889,Bering Straits,7831002d-cf78-477b-a4f8-b1c9bba1a96c
2003,Professional and Business Services,70,18,52,19,13,Nome,1407125,54920,Nome Census Area,1419977,99180,180,0,,Bering Straits Native Corporation,64.5011111,-165.4063889,Bering Straits,7831002d-cf78-477b-a4f8-b1c9bba1a96c
2003,Educational and Health Services,474,329,145,186,130,Nome,1407125,54920,Nome Census Area,1419977,99180,180,0,,Bering Straits Native Corporation,64.5011111,-165.4063889,Bering Straits,7831002d-cf78-477b-a4f8-b1c9bba1a96c
2003,Leisure and Hospitality,146,76,70,44,22,Nome,1407125,54920,Nome Census Area,1419977,99180,180,0,,Bering Straits Native Corporation,64.5011111,-165.4063889,Bering Straits,7831002d-cf78-477b-a4f8-b1c9bba1a96c
2003,State Government,193,87,106,88,48,Nome,1407125,54920,Nome Census Area,1419977,99180,180,0,,Bering Straits Native Corporation,64.5011111,-165.4063889,Bering Straits,7831002d-cf78-477b-a4f8-b1c9bba1a96c
2003,Local Government,223,125,98,101,64,Nome,1407125,54920,Nome Census Area,1419977,99180,180,0,,Bering Straits Native Corporation,64.5011111,-165.4063889,Bering Straits,7831002d-cf78-477b-a4f8-b1c9bba1a96c
2003,Other,38,14,24,17,14,Nome,1407125,54920,Nome Census Area,1419977,99180,180,0,,Bering Straits Native Corporation,64.5011111,-165.4063889,Bering Straits,7831002d-cf78-477b-a4f8-b1c9bba1a96c
2004,Natural Resources and Mining,5,0,5,0,0,Nome,1407125,54920,Nome Census Area,1419977,99180,180,0,,Bering Straits Native Corporation,64.5011111,-165.4063889,Bering Straits,7831002d-cf78-477b-a4f8-b1c9bba1a96c
2004,Construction,56,4,52,22,12,Nome,1407125,54920,Nome Census Area,1419977,99180,180,0,,Bering Straits Native Corporation,64.5011111,-165.4063889,Bering Straits,7831002d-cf78-477b-a4f8-b1c9bba1a96c
2004,Manufacturing,3,0,3,2,1,Nome,1407125,54920,Nome Census Area,1419977,99180,180,0,,Bering Straits Native Corporation,64.5011111,-165.4063889,Bering Straits,7831002d-cf78-477b-a4f8-b1c9bba1a96c
2004,"Trade, Transportation and Utilities",343,96,247,90,53,Nome,1407125,54920,Nome Census Area,1419977,99180,180,0,,Bering Straits Native Corporation,64.5011111,-165.4063889,Bering Straits,7831002d-cf78-477b-a4f8-b1c9bba1a96c
2004,Information,17,8,9,9,6,Nome,1407125,54920,Nome Census Area,1419977,99180,180,0,,Bering Straits Native Corporation,64.5011111,-165.4063889,Bering Straits,7831002d-cf78-477b-a4f8-b1c9bba1a96c
2004,Financial Activities,140,73,67,46,24,Nome,1407125,54920,Nome Census Area,1419977,99180,180,0,,Bering Straits Native Corporation,64.5011111,-165.4063889,Bering Straits,7831002d-cf78-477b-a4f8-b1c9bba1a96c
2004,Professional and Business Services,68,21,47,17,11,Nome,1407125,54920,Nome Census Area,1419977,99180,180,0,,Bering Straits Native Corporation,64.5011111,-165.4063889,Bering Straits,7831002d-cf78-477b-a4f8-b1c9bba1a96c
2004,Educational and Health Services,501,336,165,189,129,Nome,1407125,54920,Nome Census Area,1419977,99180,180,0,,Bering Straits Native Corporation,64.5011111,-165.4063889,Bering Straits,7831002d-cf78-477b-a4f8-b1c9bba1a96c
2004,Leisure and Hospitality,148,77,71,51,29,Nome,1407125,54920,Nome Census Area,1419977,99180,180,0,,Bering Straits Native Corporation,64.5011111,-165.4063889,Bering Straits,7831002d-cf78-477b-a4f8-b1c9bba1a96c
2004,State Government,199,94,105,91,51,Nome,1407125,54920,Nome Census Area,1419977,99180,180,0,,Bering Straits Native Corporation,64.5011111,-165.4063889,Bering Straits,7831002d-cf78-477b-a4f8-b1c9bba1a96c
2004,Other,42,16,26,18,17,Nome,1407125,54920,Nome Census Area,1419977,99180,180,0,,Bering Straits Native Corporation,64.5011111,-165.4063889,Bering Straits,7831002d-cf78-477b-a4f8-b1c9bba1a96c
2005,Natural Resources and Mining,15,3,12,5,4,Nome,1407125,54920,Nome Census Area,1419977,99180,180,0,,Bering Straits Native Corporation,64.5011111,-165.4063889,Bering Straits,7831002d-cf78-477b-a4f8-b1c9bba1a96c
2005,Manufacturing,2,1,1,0,0,Nome,1407125,54920,Nome Census Area,1419977,99180,180,0,,Bering Straits Native Corporation,64.5011111,-165.4063889,Bering Straits,7831002d-cf78-477b-a4f8-b1c9bba1a96c
2005,"Trade, Transportation and Utilities",371,112,259,109,66,Nome,1407125,54920,Nome Census Area,1419977,99180,180,0,,Bering Straits Native Corporation,64.5011111,-165.4063889,Bering Straits,7831002d-cf78-477b-a4f8-b1c9bba1a96c
2005,Information,16,7,9,6,4,Nome,1407125,54920,Nome Census Area,1419977,99180,180,0,,Bering Straits Native Corporation,64.5011111,-165.4063889,Bering Straits,7831002d-cf78-477b-a4f8-b1c9bba1a96c
2005,Financial Activities,92,49,43,33,24,Nome,1407125,54920,Nome Census Area,1419977,99180,180,0,,Bering Straits Native Corporation,64.5011111,-165.4063889,Bering Straits,7831002d-cf78-477b-a4f8-b1c9bba1a96c
2005,Professional and Business Services,59,16,43,16,12,Nome,1407125,54920,Nome Census Area,1419977,99180,180,0,,Bering Straits Native Corporation,64.5011111,-165.4063889,Bering Straits,7831002d-cf78-477b-a4f8-b1c9bba1a96c
2005,Educational and Health Services,486,343,143,202,136,Nome,1407125,54920,Nome Census Area,1419977,99180,180,0,,Bering Straits Native Corporation,64.5011111,-165.4063889,Bering Straits,7831002d-cf78-477b-a4f8-b1c9bba1a96c
2005,Leisure and Hospitality,135,69,66,43,24,Nome,1407125,54920,Nome Census Area,1419977,99180,180,0,,Bering Straits Native Corporation,64.5011111,-165.4063889,Bering Straits,7831002d-cf78-477b-a4f8-b1c9bba1a96c
2005,State Government,192,92,100,87,50,Nome,1407125,54920,Nome Census Area,1419977,99180,180,0,,Bering Straits Native Corporation,64.5011111,-165.4063889,Bering Straits,7831002d-cf78-477b-a4f8-b1c9bba1a96c
2005,Other,35,10,25,17,15,Nome,1407125,54920,Nome Census Area,1419977,99180,180,0,,Bering Straits Native Corporation,64.5011111,-165.4063889,Bering Straits,7831002d-cf78-477b-a4f8-b1c9bba1a96c
2006,Natural Resources and Mining,14,2,12,5,2,Nome,1407125,54920,Nome Census Area,1419977,99180,180,0,,Bering Straits Native Corporation,64.5011111,-165.4063889,Bering Straits,7831002d-cf78-477b-a4f8-b1c9bba1a96c
2006,Construction,107,18,89,28,20,Nome,1407125,54920,Nome Census Area,1419977,99180,180,0,,Bering Straits Native Corporation,64.5011111,-165.4063889,Bering Straits,7831002d-cf78-477b-a4f8-b1c9bba1a96c
2006,Manufacturing,2,1,1,1,0,Nome,1407125,54920,Nome Census Area,1419977,99180,180,0,,Bering Straits Native Corporation,64.5011111,-165.4063889,Bering Straits,7831002d-cf78-477b-a4f8-b1c9bba1a96c
2006,"Trade, Transportation and Utilities",381,121,260,109,67,Nome,1407125,54920,Nome Census Area,1419977,99180,180,0,,Bering Straits Native Corporation,64.5011111,-165.4063889,Bering Straits,7831002d-cf78-477b-a4f8-b1c9bba1a96c
2006,Information,13,6,7,4,4,Nome,1407125,54920,Nome Census Area,1419977,99180,180,0,,Bering Straits Native Corporation,64.5011111,-165.4063889,Bering Straits,7831002d-cf78-477b-a4f8-b1c9bba1a96c
2006,Financial Activities,49,24,25,15,11,Nome,1407125,54920,Nome Census Area,1419977,99180,180,0,,Bering Straits Native Corporation,64.5011111,-165.4063889,Bering Straits,7831002d-cf78-477b-a4f8-b1c9bba1a96c
2006,Professional and Business Services,62,22,40,14,10,Nome,1407125,54920,Nome Census Area,1419977,99180,180,0,,Bering Straits Native Corporation,64.5011111,-165.4063889,Bering Straits,7831002d-cf78-477b-a4f8-b1c9bba1a96c
