	Frontier:x1	Frontier:x2	Frontier:x3	Frontier:x4	Frontier:c.half#c.x1#c.x1	Frontier:c.half#c.x2#c.x2	Frontier:c.half#c.x3#c.x3	Frontier:c.half#c.x4#c.x4	Frontier:c.x1#c.x2	Frontier:c.x1#c.x3	Frontier:c.x1#c.x4	Frontier:c.x2#c.x3	Frontier:c.x2#c.x4	Frontier:c.x3#c.x4	Frontier:s1	Frontier:c.half#c.s1#c.s1	Frontier:c.x1#c.s1	Frontier:c.x2#c.s1	Frontier:c.x3#c.s1	Frontier:c.x4#c.s1	Frontier:_cons	Usigma:broader_permit_share_norm	Usigma:avg_fish_ratio_im_norm	Usigma:_cons	Vsigma:_cons	
Frontier:s1	 .00007758	 .00007041	 .00020278	-.00005303	 7.872e-06	-.00016958	 .00029998	-.00001469	-.00007427	 .00018035	-8.402e-06	 -.0002289	 .00010248	 .00002817	 .00250223	 -.0339996	-.00066918	-.00004975	 .00066116	 -.0008148	 .00008634	 .00046925	-.00009567	-.00087489	 .00013107	
Frontier:c.half#c.s1#c.s1	 -.0008363	-.00119522	-.00241379	 .00057619	-1.019e-07	 .00190991	 -.0015116	 .00025786	 .00108873	-.00262012	 .00025257	 .00518218	-.00118073	-.00034417	 -.0339996	 .56883321	 .01718018	-.01495536	-.01341697	 .01050602	-.00115537	-.00594419	 .00100885	 .01205586	 -.0035588	
Frontier:c.x1#c.s1	 8.376e-07	-.00001435	-.00001633	 .00003463	 .00002572	 .00001103	-.00067566	 .00001237	-2.004e-06	-.00013485	 .00004831	-.00010074	-.00002324	 .00010209	-.00066918	 .01718018	 .00138708	 .00125208	 .00248038	  .0005763	-.00002758	-.00001367	 .00003948	-.00015036	 -.0000445	
Frontier:c.x2#c.s1	-.00003735	 .00012232	-.00010312	 .00015393	 .00006486	 .00002123	-.00321976	-7.549e-06	-.00016704	-.00020818	 .00007972	 -.0019082	-.00011641	 .00024623	-.00004975	-.01495536	 .00125208	 .01299674	 .01310777	 .00184931	-.00003321	 .00047637	 .00021511	-.00238453	 .00042587	
Frontier:c.x3#c.s1	 .00002805	 .00013505	 .00006034	 .00015232	 .00009751	-.00006267	-.00389292	 .00001303	-.00018436	-.00029722	 .00015499	-.00187193	 -.0000472	 .00048467	 .00066116	-.01341697	 .00248038	 .01310777	 .01550744	 .00185605	-.00001099	 .00058503	 .00017451	-.00249873	 .00051355	
Frontier:c.x4#c.s1	-.00002624	-1.189e-06	 -.0000689	 .00003846	 9.609e-06	  .0000553	-.00055712	 2.421e-07	 4.794e-06	-.00009095	 .00001941	-.00018237	-.00005412	  .0000292	 -.0008148	 .01050602	  .0005763	 .00184931	 .00185605	 .00056483	-.00003095	-.00007034	 .00006184	 -.0000965	 .00004215	
Frontier:_cons	 2.842e-06	 3.290e-06	 8.377e-06	-2.435e-06	-2.497e-08	-4.966e-06	   .000023	-1.371e-06	-8.837e-07	 7.819e-06	-4.149e-07	-1.987e-07	 2.582e-06	-5.745e-07	 .00008634	-.00115537	-.00002758	-.00003321	-.00001099	-.00003095	 3.441e-06	 .00001414	-3.546e-06	-.00002317	-.00009134	
Usigma:broader_permit_share_norm	 9.653e-06	 .00001451	 .00001532	-5.239e-06	 4.648e-06	-.00003965	 .00005852	-6.094e-06	-.00002872	 .00004177	-8.026e-06	-.00015921	 9.282e-06	-.00002782	 .00046925	-.00594419	-.00001367	 .00047637	 .00058503	-.00007034	 .00001414	 .00069715	-7.602e-06	-.00194455	 .00074462	
Usigma:avg_fish_ratio_im_norm	-3.926e-06	 1.382e-07	-.00001004	 4.231e-06	 5.141e-07	 7.309e-06	-.00005013	-5.545e-07	 6.289e-07	-7.809e-06	 7.645e-07	-.00002311	-7.279e-06	-1.180e-06	-.00009567	 .00100885	 .00003948	 .00021511	 .00017451	 .00006184	-3.546e-06	-7.602e-06	 .00014262	-.00066189	-.00004664	
Usigma:_cons	-8.616e-06	-.00004189	 4.601e-06	-5.390e-06	-.00001567	 .00007765	 .00007393	 .00001998	  .0000786	-.00008126	 .00001914	 .00056314	 8.510e-06	  .0000847	-.00087489	 .01205586	-.00015036	-.00238453	-.00249873	 -.0000965	-.00002317	-.00194455	-.00066189	 .01999699	 .00535092	
Vsigma:_cons	-2.411e-06	 5.567e-06	-.00002044	 6.577e-06	 4.091e-06	-.00004731	-.00003205	 7.277e-06	-.00002889	 .00001649	-5.281e-06	-.00013933	-.00001443	-.00003721	 .00013107	 -.0035588	 -.0000445	 .00042587	 .00051355	 .00004215	-.00009134	 .00074462	-.00004664	 .00535092	  45714.92	
