	Frontier:ln_x1_star	Frontier:ln_x2_star	Frontier:ln_x3_star	Frontier:ln_x4_star	Frontier:ln_x1sq	Frontier:ln_x2sq	Frontier:ln_x3sq	Frontier:ln_x4sq	Frontier:ln_x1x2	Frontier:ln_x1x3	Frontier:ln_x1x4	Frontier:ln_x2x3	Frontier:ln_x2x4	Frontier:ln_x3x4	Frontier:ln_s1_star	Frontier:ln_s1sq	Frontier:ln_x1s1	Frontier:ln_x2s1	Frontier:ln_x3s1	Frontier:ln_x4s1	Frontier:_cons	Usigma:broader_permit_share_norm	Usigma:avg_fish_ratio_im_norm	Usigma:_cons	Vsigma:_cons	
Frontier:ln_s1sq	-.00083549	 -.0011958	 -.0024195	 .00057867	-1.023e-07	  .0019099	-.00151149	 .00025787	 .00108874	-.00262012	 .00025257	 .00518225	-.00118074	-.00034418	-.03386989	 .56883457	 .01718015	-.01495576	-.01341738	   .010506	-.00116256	-.00591369	  .0010045	 .01205596	-.00374974	
Frontier:ln_x1s1	 1.113e-06	-.00001434	-.00001636	 .00003492	 .00002572	 .00001103	-.00067565	 .00001237	-2.005e-06	-.00013484	 .00004831	-.00010074	-.00002324	 .00010209	-.00066031	 .01718015	 .00138708	 .00125208	 .00248037	  .0005763	-.00002759	 -.0000136	 .00003931	-.00015038	-.00004685	
Frontier:ln_x2s1	-.00003707	 .00012175	-.00010403	 .00015456	 .00006486	 .00002122	-.00321976	-7.549e-06	-.00016704	-.00020817	 .00007972	-.00190821	-.00011641	 .00024623	-.00002713	-.01495576	 .00125208	 .01299675	 .01310779	 .00184931	-.00003272	 .00047394	 .00021418	-.00238457	  .0004462	
Frontier:ln_x3s1	 .00002874	 .00013481	 .00005995	 .00015335	 .00009751	-.00006268	-.00389292	 .00001303	-.00018436	-.00029722	 .00015499	-.00187194	 -.0000472	 .00048467	  .0006873	-.01341738	 .00248037	 .01310779	 .01550747	 .00185604	-.00001016	 .00058205	 .00017376	-.00249879	 .00053982	
Frontier:ln_x4s1	-.00002617	-1.301e-06	-.00006918	 .00003861	 9.609e-06	  .0000553	-.00055712	 2.423e-07	 4.794e-06	-.00009095	 .00001941	-.00018237	-.00005412	  .0000292	-.00080803	   .010506	  .0005763	 .00184931	 .00185604	 .00056483	-.00003103	-.00006998	 .00006158	-.00009651	 .00004384	
Frontier:_cons	 2.865e-06	 3.315e-06	 8.462e-06	-2.451e-06	-1.879e-08	-4.998e-06	 .00002282	-1.371e-06	-8.998e-07	 7.830e-06	-4.024e-07	-2.843e-07	 2.604e-06	-5.199e-07	 .00008651	-.00116256	-.00002759	-.00003272	-.00001016	-.00003103	 3.476e-06	 .00001415	-3.545e-06	-.00002335	-.00009591	
Usigma:broader_permit_share_norm	 9.622e-06	 .00001435	  .0000153	-5.286e-06	 4.624e-06	-.00003945	 .00005822	-6.063e-06	-.00002858	 .00004155	-7.985e-06	 -.0001584	 9.235e-06	-.00002768	 .00046625	-.00591369	 -.0000136	 .00047394	 .00058205	-.00006998	 .00001415	 .00069001	-7.530e-06	-.00193457	 .00077877	
Usigma:avg_fish_ratio_im_norm	-3.909e-06	 1.182e-07	-.00001004	 4.220e-06	 5.119e-07	 7.277e-06	-.00004991	-5.521e-07	 6.262e-07	-7.775e-06	 7.612e-07	-.00002301	-7.248e-06	-1.174e-06	-.00009458	  .0010045	 .00003931	 .00021418	 .00017376	 .00006158	-3.545e-06	-7.530e-06	 .00014139	-.00065903	-.00004882	
Usigma:_cons	-8.670e-06	-.00004155	 4.602e-06	-5.215e-06	-.00001567	 .00007765	 .00007394	 .00001998	  .0000786	-.00008126	 .00001914	 .00056315	 8.510e-06	  .0000847	-.00087648	 .01205596	-.00015038	-.00238457	-.00249879	-.00009651	-.00002335	-.00193457	-.00065903	 .01999702	 .00562019	
Vsigma:_cons	-2.542e-06	 5.696e-06	 -.0000216	 6.901e-06	 4.314e-06	-.00004991	-.00003343	 7.704e-06	-.00003037	 .00001741	-5.534e-06	-.00014623	-.00001523	-.00003912	 .00013846	-.00374974	-.00004685	  .0004462	 .00053982	 .00004384	-.00009591	 .00077877	-.00004882	 .00562019	 51192.428	
