term,estimate
_cons,-0.031084280165
ln_x1_star,-0.013416424551
ln_x2_star,-0.006859832675
ln_x3_star,-0.019234697845
ln_x4_star,-0.005569508067
ln_x1sq,0.005055266980
ln_x2sq,0.002899772762
ln_x3sq,0.051341076968
ln_x4sq,0.011097520397
ln_x1x2,-0.004470099412
ln_x1x3,0.002015102703
ln_x1x4,0.005311463686
ln_x2x3,-0.020779790940
ln_x2x4,-0.001275992488
ln_x3x4,0.010961888359
ln_s1_star,-0.411276589089
ln_s1sq,2.119035220773
ln_x1s1,-0.044499819358
ln_x2s1,-0.287971800585
ln_x3s1,-0.257424293027
ln_x4s1,-0.107509081940
